data,count
2010-01-01,4
2010-02-01,10
2010-03-01,13
2010-04-01,10
2010-05-01,18
2010-06-01,12
2010-07-01,10
2010-08-01,17
2010-09-01,17
2010-10-01,20
2010-11-01,21
2010-12-01,20
2011-01-01,31
2011-02-01,33
2011-03-01,45
2011-04-01,38
2011-05-01,60
2011-06-01,59
2011-07-01,99
2011-08-01,92
2011-09-01,84
2011-10-01,63
2011-11-01,78
2011-12-01,94
2012-01-01,98
2012-02-01,109
2012-03-01,168
2012-04-01,134
2012-05-01,161
2012-06-01,186
2012-07-01,252
2012-08-01,235
2012-09-01,225
2012-10-01,228
2012-11-01,243
2012-12-01,208
2013-01-01,432
2013-02-01,353
2013-03-01,376
2013-04-01,468
2013-05-01,431
2013-06-01,406
2013-07-01,487
2013-08-01,543
2013-09-01,513
2013-10-01,504
2013-11-01,440
2013-12-01,369
2014-01-01,419
2014-02-01,440
2014-03-01,457
2014-04-01,537
2014-05-01,579
2014-06-01,476
2014-07-01,639
2014-08-01,656
2014-09-01,783
2014-10-01,688
2014-11-01,675
2014-12-01,627
2015-01-01,604
2015-02-01,691
2015-03-01,1079
2015-04-01,1073
2015-05-01,1491
2015-06-01,1318
2015-07-01,1467
2015-08-01,1255
2015-09-01,1155
2015-10-01,1006
2015-11-01,924
2015-12-01,735
2016-01-01,591
2016-02-01,741
2016-03-01,950
2016-04-01,805
2016-05-01,799
2016-06-01,1072
2016-07-01,1007
2016-08-01,1038
2016-09-01,1031
2016-10-01,1001
2016-11-01,1035
2016-12-01,867
2017-01-01,821
2017-02-01,1051
2017-03-01,1443
2017-04-01,1414
2017-05-01,2185
2017-06-01,1916
2017-07-01,2306
2017-08-01,2702
2017-09-01,2329
2017-10-01,1993
2017-11-01,1622
2017-12-01,1319
2018-01-01,1190
2018-02-01,1243
2018-03-01,1663
2018-04-01,1566
2018-05-01,615
